0	0	0.25	width	Front left	x	y	Front right	x	y
-0.256394	22.542445	0.119879			-3.2946593796	22.6800803272		2.662279303	23.3976327866
-0.267627	22.641811	0.105274			-3.3035582527	22.8238039366		2.6632245968	23.4542818717
-0.277385	22.741333	0.090193			-3.3102264869	22.9690883848		2.6653857205	23.5095129832
-0.28562	22.840992	0.074697			-3.3145682059	23.1157150711		2.6687006503	23.5634804049
-0.292292	22.940768	0.058846			-3.3165052429	23.2634664067		2.6731091995	23.616338667
-0.297367	23.040638	0.042703			-3.3159771077	23.4121121146		2.678553085	23.6682522508
-0.300818	23.140578	0.026331			-3.3129420565	23.5614208072		2.684978099	23.719388552
-0.302625	23.24056	0.009796			-3.3073789804	23.7111484798		2.6923331371	23.7699235398
-0.302773	23.340559	-0.006838			-3.2992838896	23.8610611506		2.7005758363	23.8200334704
-0.301256	23.440546	-0.023504			-3.2886764631	24.0109134048		2.7096662991	23.8699023889
-0.298074	23.540494	-0.040138			-3.2755941241	24.1604729596		2.7195733476	23.919709619
-0.293235	23.640376	-0.056673			-3.2600972122	24.3095012603		2.7302698797	23.969645255
-0.286754	23.740165	-0.073045			-3.2422641693	24.4577718835		2.7417362305	24.0198915164
-0.278651	23.839835	-0.089188			-3.2221922551	24.6050571111		2.7539600612	24.0706382749
-0.268955	23.939363	-0.105039			-3.1999974466	24.7511450991		2.7669334005	24.1220693754
-0.257701	24.038726	-0.120535			-3.1758126719	24.8958282521		2.7806540146	24.1743681956
-0.244928	24.137906	-0.135615			-3.1497832674	25.0389142549		2.7951269572	24.2277161159
-0.230685	24.236886	-0.150221			-3.1220707603	25.1802249557		2.8103574075	24.2822850723
-0.215024	24.335651	-0.164293			-3.0928492595	25.3195827943		2.8263561517	24.3382534409
-0.198004	24.434191	-0.177776			-3.0623017312	25.4568339029		2.8431347954	24.3957875182
-0.179689	24.532499	-0.190618			-3.0306181297	25.5918398789		2.8607058672	24.4550454539
-0.160146	24.63057	-0.202768			-2.9979940266	25.7244706252		2.8790834171	24.516182282
-0.13945	24.728404	-0.214177			-2.9646332925	25.8546097378		2.898276597	24.5793499104
-0.117677	24.826005	-0.224801			-2.930736271	25.982161364		2.9182946446	24.6446871219
-0.094908	24.923378	-0.234597			-2.8965067726	26.107035179		2.9391418159	24.712328919
-0.071229	25.020534	-0.243527			-2.8621461486	26.2291619286		2.9608151985	24.7823996293
-0.046727	25.117485	-0.251557			-2.8278489907	26.3484847859		2.9833072461	24.8550112535
-0.021493	25.214249	-0.258653			-2.7938098706	26.4649524697		3.0066024623	24.9302809191
0.004382	25.310843	-0.264788			-2.7602096805	26.5785309899		3.0306783432	25.008303014
0.030801	25.40729	-0.269939			-2.7272241725	26.6892015211		3.0554988187	25.0891656441
0.057667	25.503613	-0.274084			-2.6950209716	26.7969454904		3.0810202133	25.1729540404
0.084884	25.599838	-0.277207			-2.6637514772	26.901760814		3.1071898235	25.2597387361
0.112352	25.695992	-0.279295			-2.6335590726	27.0036511227		3.1339411085	25.3495829075
0.13997	25.792103	-0.280342			-2.6045704488	27.1026363743		3.1611947621	25.4425304942
0.167638	25.888199	-0.280342			-2.5769024488	27.1987323743		3.1888627621	25.5386264942
0.195256	25.984309	-0.279295			-2.5506550726	27.2919681227		3.2168451085	25.6378999075
0.222724	26.080463	-0.277207			-2.5259114772	27.382385814		3.2450298235	25.7403637361
0.249941	26.176688	-0.274084			-2.5027469716	27.4700204904		3.2732942133	25.8460290404
0.276807	26.273011	-0.269939			-2.4812181725	27.5549225211		3.3015048187	25.9548866441
0.303226	26.369458	-0.264788			-2.4613656805	27.6371459899		3.3295223432	26.066918014
0.329101	26.466052	-0.258653			-2.4432158706	27.7167554697		3.3571964623	26.1820839191
0.354335	26.562816	-0.251557			-2.4267869907	27.7938157859		3.3843692461	26.3003422535
0.378837	26.659767	-0.243527			-2.4120801486	27.8683949286		3.4108811985	26.4216326293
0.402516	26.756923	-0.234597			-2.3990827726	27.940580179		3.4365658159	26.545873919
0.425285	26.854296	-0.224801			-2.387774271	28.010452364		3.4612566446	26.6729781219
0.447058	26.951897	-0.214177			-2.3781252925	28.0781027378		3.484784597	26.8028429104
0.467754	27.049731	-0.202768			-2.3700940266	28.1436316252		3.5069834171	26.935343282
0.487297	27.147802	-0.190618			-2.3636321297	28.2071428789		3.5276918672	27.0703484539
0.505612	27.24611	-0.177776			-2.3586857312	28.2687529029		3.5467507954	27.2077065182
0.522632	27.34465	-0.164293			-2.3551932595	28.3285817943		3.5640121517	27.3472524409
0.538293	27.443415	-0.150221			-2.3530927603	28.3867539557		3.5793354075	27.4888140723
0.552536	27.542395	-0.135615			-2.3523192674	28.4434032549		3.5925909572	27.6322051159
0.565309	27.641575	-0.120535			-2.3528026719	28.4986772521		3.6036640146	27.7772171956
0.576563	27.740939	-0.105039			-2.3544794466	28.5527210991		3.6124514005	27.9236453754
0.586259	27.840466	-0.089188			-2.3572822551	28.6056881111		3.6188700612	28.0712692749
0.594362	27.940136	-0.073045			-2.3611481693	28.6577428835		3.6228522305	28.2198625164
0.600843	28.039925	-0.056673			-2.3660192122	28.7090502603		3.6243478797	28.369194255
0.605682	28.139807	-0.040138			-2.3718381241	28.7597859596		3.6233293476	28.519022619
0.608863	28.239755	-0.023504			-2.3785574631	28.8101224048		3.6197852991	28.6691113889
0.613415	28.539717	-0.006838			-2.3830958896	29.0602191506		3.6167638363	29.0191914704
0.613267	28.639716	0.009796			-2.3914869804	29.1103044798		3.6082251371	29.1690795398
